id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
39231215,DOWNTOWN PENTHOUSE #1 | CDC Clean | 2bd (+Gym),98193524,JW+Family,,Loop,41.87206,-87.62902,Entire home/apt,94,2,22,10/2/2020,1.75,20,153
39251077,Modern luxurious apartment in hip Logan Square,87601336,Jon,,Logan Square,41.92417,-87.69521,Private room,81,1,10,9/4/2020,0.79,4,356
39254001,The Ricky Rafi Apartment,92323713,Rafael,,Logan Square,41.9267,-87.71763,Private room,86,1,0,,,1,89
39255883,The Epic🗻Sleep30 - 4 Downtown Penthouses Combined,98193524,JW+Family,,Loop,41.8725,-87.62925,Entire home/apt,500,2,0,,,20,146
39256037,Amazing condo in Lincoln Park (2 blocks to zoo),154488705,David,,Lincoln Park,41.91712,-87.63692,Entire home/apt,140,2,35,9/24/2020,2.83,1,321
39263153,"Roomy Gold Coast 1BR w/ Walk-up, near L & Mariano Park, by Blueground",107434423,Blueground,,Near North Side,41.90511,-87.62785,Entire home/apt,105,30,0,,,212,315
39269020,Beautiful 3 Bedroom Logan Square Apartment!,96026451,Kelly,,Logan Square,41.92486,-87.70106,Entire home/apt,75,1,1,10/27/2019,0.08,1,0
39269663,Rent the Master BR w/ensuite in a 3000 Sq Ft Condo,10613587,Saurin,,West Town,41.89319,-87.65862,Private room,92,2,5,2/9/2020,0.41,4,68
39269989,Gargantuan Brownstone near Landmarks and Wrigley!,11218058,Dan,,Uptown,41.96867,-87.66,Entire home/apt,439,3,6,3/16/2020,0.51,1,194
39271893,Portgage/Belmont Apartment - sleeps 8!,69271267,Wendy,,Belmont Cragin,41.93725,-87.75443,Entire home/apt,50,2,1,10/28/2019,0.08,3,111
39277763,Jeffery Manor - Private Room,301551989,Deborah,,South Deering,41.71621,-87.57454,Private room,25,2,3,3/2/2020,0.24,1,21
39292796,GOATHOTE | 3/2APT | MEDICAL DISTRICT/UNITED CENTER,244000490,Goathote,,Near West Side,41.87028,-87.6844,Entire home/apt,71,1,27,10/11/2020,2.15,19,360
39293261,"Kasa Chicago | Contactless 1BD/1BA + Den, Walk to Red Line | South Loop",88566861,Kasa,,Loop,41.87091,-87.63,Entire home/apt,148,2,25,9/23/2020,2.11,47,335
39297417,Luxury Condo in the Historic Hyde Park District,92659759,DeNeatra,,Kenwood,41.80362,-87.60307,Private room,150,6,1,10/27/2019,0.08,2,87
39297706,home run rental,301709971,Xiumei,,Lake View,41.95311,-87.65606,Private room,148,1,2,3/1/2020,0.24,1,90
39297877,"Sweet, restful bedroom  in Albany Park",33693717,Colette Wright,,Albany Park,41.96668,-87.71082,Private room,24,2,9,2/27/2020,0.8,2,0
39313732,"Private room with essentials, Male Only",209505899,Janeth,,Washington Heights,41.72539,-87.64695,Private room,37,7,2,10/25/2019,0.16,3,0
39317162,Wonderful private room stay,6617501,Nnamdi,,South Shore,41.75525,-87.58372,Private room,25,2,20,9/22/2020,1.64,4,351
39319667,Happy Home- Laid Back Private Rm w/ Free Parking,91186260,Jessie,,Washington Park,41.79627,-87.62609,Private room,28,5,5,3/4/2020,0.45,6,365
39328389,Free Parking & King Bed in Desirable Norwood Park!,171717935,Erin,,Norwood Park,41.99451,-87.80647,Entire home/apt,75,3,41,9/28/2020,3.86,1,51
39333762,Apartment in the city with a suburb feel.,292855637,Denise,,Ohare,41.97903,-87.84505,Shared room,65,3,3,12/19/2019,0.26,2,52
39339292,Downtown PENTHOUSE #2❤️Family Friendly❤️CDC Clean,98193524,JW+Family,,Loop,41.87271,-87.62844,Entire home/apt,124,2,36,10/15/2020,2.9,20,137
39339906,Private room free parking.,293508857,Dino,,Portage Park,41.96189,-87.78666,Private room,50,1,0,,,3,178
39341910,Dorothy's Place ll(10 MINS TO DWTN & FREE PARKING),185579695,LaToya,,Austin,41.87475,-87.75495,Entire home/apt,225,1,4,10/11/2020,2.45,2,365
39343088,First Floor Apartment in Andersonville Greystone,54007836,Scott,,Edgewater,41.9843,-87.66304,Entire home/apt,70,2,5,3/1/2020,0.45,1,0
39358891,Simple stay at modern private room,6617501,Nnamdi,,South Shore,41.75451,-87.58465,Private room,25,2,8,9/22/2020,0.8,4,342
39360539,Fabulous stay in a modern room – Chicago comfort,6617501,Nnamdi,,South Shore,41.75655,-87.58528,Private room,29,2,15,8/10/2020,1.23,4,32
39362318,Relaxed getaway for a quick visit,6617501,Nnamdi,,South Shore,41.75646,-87.5853,Private room,29,2,14,7/1/2020,1.18,4,32
39381426,"Ideal River North 1BR w/ Gym, Pool, W/D, near MM, by Blueground",107434423,Blueground,,Near North Side,41.90473,-87.63397,Entire home/apt,142,30,0,,,212,53
39383925,"Sleek Old Town 1BR w/ W/D, Gym, walk to Wells Street, by Blueground",107434423,Blueground,,Near North Side,41.89862,-87.62138,Entire home/apt,109,30,1,11/21/2019,0.09,212,306
39388866,1 bed 1bath in Pilsen,68295652,Victor,,Lower West Side,41.8585,-87.65268,Private room,120,1,1,10/25/2019,0.08,1,363
39392454,"Chicago's NW CLEAN/Cozy Full SZ BR ""B""",69271267,Wendy,,Belmont Cragin,41.93755,-87.75546,Private room,38,2,5,9/30/2020,0.4,3,111
39392682,30 E. Huron #2703 Private Residence,257464365,Kevin,,Near North Side,41.89323,-87.61728,Entire home/apt,89,30,0,,,18,121
39392686,"Chicago NW ""A"" CLEAN/Cozy Queen SZ BR",69271267,Wendy,,Belmont Cragin,41.93762,-87.75375,Private room,40,2,6,8/10/2020,0.49,3,142
39393279,Historic Bronzeville Property,302585687,Evelyn,,Douglas,41.82855,-87.61673,Entire home/apt,125,3,0,,,1,97
39394237,Extended stay Vintage Condo with Open Floor Plan,14865066,William,,Rogers Park,42.01573,-87.68263,Entire home/apt,95,32,1,2/3/2020,0.11,3,331
39396431,River North Condo Steps from Mag Mile!,302616128,Karen,,Near North Side,41.89452,-87.62735,Entire home/apt,90,31,2,9/12/2020,0.19,1,358
39396472,Akounamatata,302616563,Ousmane,,Burnside,41.72583,-87.59634,Entire home/apt,200,1,9,2/17/2020,0.88,1,0
39410275,Splendid South Shore,73449268,Rahchel C,,South Shore,41.76322,-87.5686,Private room,50,3,0,,,1,365
39415323,S7 Cute Studio in Old Town,23612069,Tj,,Near North Side,41.9074,-87.63401,Entire home/apt,56,1,47,10/16/2020,3.88,14,68
39415794,"Kasa Chicago | Studio + Balcony, Walk to Grant Park | South Loop",88566861,Kasa,,Loop,41.87089,-87.63166,Entire home/apt,152,2,22,10/7/2020,1.89,47,339
39415933,"Kasa Chicago | Studio + Balcony, Walk to Target, Whole Foods | South Loop",88566861,Kasa,,Loop,41.87117,-87.63196,Entire home/apt,112,2,21,10/4/2020,1.87,47,325
39440808,★Bright & Bold 1BR in Roscoe Village + Fireplace★,86318831,Andrei,,North Center,41.94177,-87.67776,Entire home/apt,207,1,32,5/31/2020,2.64,5,0
39442986,Warren Residence | Chicago United Center 4BR+2BA,295470629,Kate,,Near West Side,41.88232,-87.68195,Entire home/apt,251,30,13,3/7/2020,1.17,1,0
