price,neighborhood,latitude,longitude,room_type,bathrooms,bedrooms,beds
140,Near West Side,41.88575,-87.65052,Entire home/apt,1,1,1
182,Lincoln Park,41.93283,-87.64315,Entire home/apt,1,1,1
81,Rogers Park,42.004,-87.67503,Private room,1,1,1
229,Loop,41.86991,-87.62856,Entire home/apt,1,1,1
57,Avondale,41.94663,-87.70783,Entire home/apt,1,2,2
200,Near South Side,41.85453,-87.62052,Entire home/apt,2,2,2
107,Lincoln Park,41.93101,-87.65878,Private room,2,1,1
329,Lake View,41.94432,-87.65988,Entire home/apt,2,3,4
235,Lake View,41.94993,-87.66173,Entire home/apt,2,3,4
329,Lake View,41.94943,-87.66129,Entire home/apt,2,5,6
1086,Grand Boulevard,41.81832,-87.61463,Entire home/apt,3.5,3,3
70,Logan Square,41.91472,-87.69073,Entire home/apt,1,1,2
75,Logan Square,41.92118,-87.68678,Private room,1,1,1
36,West Town,41.89278,-87.66131,Private room,1,1,1
150,Near North Side,41.89975,-87.62785,Entire home/apt,1,1,2
45,West Ridge,41.98864,-87.69345,Private room,1,1,1
169,West Town,41.8967,-87.65734,Entire home/apt,2,3,4
75,Lake View,41.93395,-87.63923,Private room,1,1,1
79,Humboldt Park,41.88876,-87.70858,Entire home/apt,1,1,3
95,Norwood Park,41.99462,-87.7795,Entire home/apt,1,2,3
70,Lower West Side,41.84828,-87.68021,Private room,1.5,1,1
100,West Town,41.89984,-87.6764,Entire home/apt,1,1,1
140,Lincoln Park,41.91944,-87.65894,Entire home/apt,2.5,3,2
42,Kenwood,41.80379,-87.60386,Private room,1,1,1
111,Lake View,41.94594,-87.65431,Hotel room,11,1,4
31,Lake View,41.94594,-87.65431,Hotel room,11,1,10
114,West Town,41.90669,-87.68283,Entire home/apt,1,1,1
144,West Town,41.89648,-87.65651,Entire home/apt,2,3,4
81,Near West Side,41.86756,-87.68662,Private room,1,1,2
150,West Town,41.88962,-87.64129,Entire home/apt,1,,0
113,Lake View,41.93501,-87.64819,Private room,1,1,1
175,Portage Park,41.96703,-87.75087,Private room,1,1,1
60,Lower West Side,41.85105,-87.67942,Private room,1,1,1
80,Lincoln Square,41.96293,-87.69358,Entire home/apt,1,1,1
65,Hyde Park,41.79777,-87.58943,Private room,1,1,1
140,Near North Side,41.89009,-87.62304,Entire home/apt,1,1,1
89,West Town,41.90006,-87.68096,Entire home/apt,1.5,1,1
60,Kenwood,41.81207,-87.60417,Entire home/apt,1,1,2
225,Near North Side,41.89076,-87.62277,Entire home/apt,2,2,2
45,Near North Side,41.90143,-87.63273,Entire home/apt,1,,1
46,Uptown,41.97487,-87.67027,Private room,1.5,1,1
26,East Garfield Park,41.88342,-87.69618,Private room,1,1,1
80,Washington Park,41.79599,-87.62355,Private room,1.5,1,1
65,Lower West Side,41.8579,-87.65104,Private room,1,1,1
160,Irving Park,41.95163,-87.71651,Entire home/apt,3,5,6
45,North Lawndale,41.85448,-87.70787,Private room,1.5,1,1
45,Humboldt Park,41.89826,-87.70336,Entire home/apt,1,,2
120,Near South Side,41.8537,-87.62338,Entire home/apt,1,1,2
82,West Town,41.90772,-87.68121,Entire home/apt,1,1,1
29,Kenwood,41.80458,-87.60508,Private room,1,1,1
125,Hyde Park,41.78977,-87.58916,Entire home/apt,1.5,3,3
136,West Ridge,41.98681,-87.69806,Entire home/apt,2,3,3
975,Uptown,41.96821,-87.65626,Entire home/apt,2.5,5,11
120,Loop,41.88618,-87.61888,Entire home/apt,1,1,1
80,Edgewater,41.98705,-87.66228,Private room,1.5,1,1
200,Near South Side,41.85211,-87.6216,Entire home/apt,2,2,1
87,Near West Side,41.86759,-87.68204,Private room,1,1,1
147,Logan Square,41.91432,-87.6737,Entire home/apt,2,3,8
92,Lincoln Park,41.93227,-87.64879,Entire home/apt,1,3,3
239,Near North Side,41.90076,-87.63237,Entire home/apt,1,1,1
100,Near South Side,41.85445,-87.62432,Entire home/apt,1,1,2
79,Morgan Park,41.68612,-87.67735,Entire home/apt,1,1,3
89,Morgan Park,41.68582,-87.68067,Entire home/apt,1,2,2
124,Lincoln Park,41.92985,-87.64353,Entire home/apt,1,1,1
289,Lake View,41.94278,-87.67221,Entire home/apt,2,2,2
200,Near South Side,41.85235,-87.6216,Entire home/apt,2,2,2
33,Dunning,41.94435,-87.79969,Private room,1,1,1
135,Near South Side,41.85441,-87.62151,Entire home/apt,1,1,2
145,Near North Side,41.89098,-87.62238,Entire home/apt,1,1,1
119,North Center,41.94795,-87.68314,Entire home/apt,1,2,2
78,West Town,41.89425,-87.68468,Entire home/apt,1,1,2
156,West Town,41.90243,-87.67028,Entire home/apt,2,2,2
220,Loop,41.88766,-87.61754,Entire home/apt,2,2,3
78,Avondale,41.93758,-87.7124,Private room,1,1,1
136,Near West Side,41.88523,-87.65195,Private room,1,1,1
34,West Lawn,41.78355,-87.72894,Private room,1,1,1
159,West Town,41.90289,-87.66997,Entire home/apt,1,1,1
200,Lincoln Park,41.92049,-87.65789,Entire home/apt,1,1,1
70,South Shore,41.77293,-87.56951,Entire home/apt,2,2,1
100,Near North Side,41.90443,-87.63996,Private room,1,1,1
65,Logan Square,41.91548,-87.67451,Entire home/apt,1,1,1
56,Near South Side,41.85298,-87.62761,Private room,1,1,1
150,Lincoln Square,41.96315,-87.6804,Entire home/apt,2,2,2
100,Logan Square,41.93156,-87.71161,Entire home/apt,1,2,4
97,Near West Side,41.86823,-87.68483,Private room,1,1,1
130,Rogers Park,42.00529,-87.67761,Entire home/apt,1,1,2
62,Lower West Side,41.85683,-87.65249,Entire home/apt,1,2,0
1157,Logan Square,41.91704,-87.69375,Entire home/apt,2.5,6,9
106,Albany Park,41.96697,-87.70906,Entire home/apt,1,2,2
181,Lake View,41.93493,-87.6462,Private room,1,1,0
84,Edgewater,41.9895,-87.66685,Entire home/apt,1,1,3
386,Lake View,41.94313,-87.65613,Entire home/apt,3,3,3
70,Lake View,41.94465,-87.65477,Private room,1,1,1
69,Lake View,41.94276,-87.65498,Private room,1,1,1
78,Avondale,41.93625,-87.71245,Private room,1,1,1
249,West Town,41.89885,-87.68007,Entire home/apt,2,3,8
70,Lake View,41.94279,-87.65548,Private room,1,1,1
299,Near West Side,41.8867,-87.64338,Entire home/apt,1,2,3
81,East Garfield Park,41.88373,-87.70718,Entire home/apt,2,2,2
91,West Town,41.90968,-87.69768,Private room,1,1,1
650,Lake View,41.93755,-87.66932,Entire home/apt,2,2,2
70,Lake View,41.94177,-87.65147,Private room,1,1,
75,Lake View,41.9402,-87.65133,Private room,1,1,1
375,Lake View,41.94328,-87.6487,Entire home/apt,1,3,3
62,Lincoln Park,41.92709,-87.66337,Entire home/apt,1,2,2
75,Hyde Park,41.7998,-87.59381,Private room,1,1,1
230,Lake View,41.94009,-87.65697,Entire home/apt,2,2,2
89,Lincoln Park,41.92716,-87.65788,Entire home/apt,1,2,3
55,West Town,41.90182,-87.68402,Private room,1,1,1
52,Logan Square,41.9293,-87.72039,Entire home/apt,1,1,2
150,Loop,41.88626,-87.61621,Entire home/apt,1,1,1
350,Near North Side,41.89805,-87.62977,Entire home/apt,1,2,2
140,Logan Square,41.92245,-87.70345,Entire home/apt,1,1,1
39,Edgewater,41.99041,-87.66022,Private room,1,1,1
199,Lincoln Park,41.92529,-87.66642,Entire home/apt,1,1,1
103,Rogers Park,42.00565,-87.6633,Private room,1,1,1
69,Albany Park,41.96187,-87.71997,Entire home/apt,1,1,1
65,West Ridge,41.99739,-87.67507,Entire home/apt,1,1,2
135,Near North Side,41.88975,-87.63425,Entire home/apt,1,,1
38,Hyde Park,41.80208,-87.60178,Private room,1,1,1
263,Near North Side,41.89768,-87.6437,Entire home/apt,1,1,1
50,Rogers Park,42.02139,-87.67363,Private room,1,1,1
85,Grand Boulevard,41.81793,-87.61796,Private room,1,1,1
100,Near North Side,41.90275,-87.6311,Entire home/apt,1,,1
19,West Ridge,42.0168,-87.68771,Shared room,2,1,1
148,Lake View,41.94224,-87.65137,Private room,1,1,1
65,Bridgeport,41.83514,-87.64774,Entire home/apt,1,1,3
85,Humboldt Park,41.89806,-87.7034,Entire home/apt,1,2,3
100,South Shore,41.77189,-87.57458,Private room,1,1,1
54,Logan Square,41.91999,-87.69002,Private room,1,1,1
254,West Town,41.89983,-87.67349,Entire home/apt,1,1,2
34,West Lawn,41.78384,-87.72759,Private room,1,1,1
83,Lake View,41.95037,-87.6457,Private room,1,1,1
55,West Ridge,42.0059,-87.68286,Private room,1,1,1
90,Near North Side,41.89422,-87.62596,Entire home/apt,1,1,1
37,Lower West Side,41.85531,-87.65411,Entire home/apt,1,1,2
121,Grand Boulevard,41.81874,-87.61439,Private room,1,,1
90,West Town,41.91088,-87.67704,Entire home/apt,1,1,1
85,Dunning,41.94148,-87.79432,Private room,1,1,1
179,Lincoln Park,41.91422,-87.63981,Entire home/apt,2.5,3,3
80,Rogers Park,42.0061,-87.66298,Private room,1,1,1
80,Rogers Park,42.00493,-87.66471,Private room,1,1,1
124,Near West Side,41.88371,-87.68629,Entire home/apt,1,2,2
150,Logan Square,41.9197,-87.67986,Entire home/apt,1,1,1
125,Uptown,41.95717,-87.64828,Entire home/apt,1,2,2
135,West Town,41.90127,-87.69165,Entire home/apt,2.5,1,2
59,Hyde Park,41.7898,-87.58961,Private room,1.5,1,1
21,Hyde Park,41.7961,-87.5929,Private room,1,1,1
500,Logan Square,41.91842,-87.67367,Private room,1,1,1
